gene,variance
ENSG00000035681,822760.7715458277
ENSG00000035687,3817821.5569083453
ENSG00000035720,37977.73474692202
ENSG00000035862,3490943413.9305067
ENSG00000035928,3930407.6749658
ENSG00000036054,1508473.3686730505
ENSG00000036257,2705613.845280439
ENSG00000036448,276290.39685362513
ENSG00000036473,717.0538987688102
ENSG00000036530,4208.170861833105
ENSG00000036549,1610277.2164158688
ENSG00000036565,138.78809849521207
ENSG00000036672,10849792.898084814
ENSG00000036828,7543.316142270864
ENSG00000037042,782902.8612859095
ENSG00000037241,1251461.1164158692
ENSG00000037280,2917258.5741450065
ENSG00000037474,4084765.6180574563
ENSG00000037637,680441.9627906976
ENSG00000037749,652246.0559507523
ENSG00000037757,1793838.2573187419
ENSG00000037897,441998.04555403575
ENSG00000037965,249424.5143638852
ENSG00000038002,1528792.320109439
ENSG00000038210,946622.8180574554
ENSG00000038219,3431758.3868673053
ENSG00000038274,13139096.989876876
ENSG00000038295,106452.63638850891
ENSG00000038358,3308782.035704514
ENSG00000038382,48156920.15321477
ENSG00000038427,2041549593.766347
ENSG00000038532,3274042.936935705
ENSG00000038945,12040245.178112175
ENSG00000039068,260799619.43912444
ENSG00000039123,14818436.945006851
ENSG00000039139,55064.094801641586
ENSG00000039319,1646630.0882352942
ENSG00000039523,28759892.573050633
ENSG00000039537,12177.455540355679
ENSG00000039560,28273492.23638852
ENSG00000039600,27601.282626538985
ENSG00000039650,517640.7027359781
ENSG00000039987,148.50396716826276
ENSG00000040199,10184954.453625174
ENSG00000040275,617369.8540355675
ENSG00000040341,9136412.06142271
ENSG00000040487,570317.5629274967
ENSG00000040531,577575.6411764706
ENSG00000040608,1114131.1497948016
ENSG00000040633,1723101.3347469228
ENSG00000040731,25940.581805745554
ENSG00000040933,709392.6303693568
ENSG00000041353,12801968.038850885
ENSG00000041357,15432196.061285907
ENSG00000041515,92125.17428180575
ENSG00000041802,1235707.074281806
ENSG00000041880,1798033.827222983
ENSG00000041982,1941421257.5053344
ENSG00000041988,258351.16238030104
ENSG00000042062,2244209.1715458296
ENSG00000042088,123247.7943912449
ENSG00000042286,3238502.4437756496
ENSG00000042304,8.057592339261284
ENSG00000042317,43964.839945280444
ENSG00000042429,657265.8595075243
ENSG00000042445,28152667.699179202
ENSG00000042493,98931049.26730508
ENSG00000042753,15357194.152804375
ENSG00000042781,161.015731874145
ENSG00000042813,19.163337893296887
ENSG00000042832,70387.6324213406
ENSG00000042980,550669.687004104
ENSG00000043039,14403079.73296853
ENSG00000043093,1228409.782763338
ENSG00000043143,11906877.900410393
ENSG00000043355,97795.6805745554
ENSG00000043462,4345688.513406293
ENSG00000043514,543511.2645690832
ENSG00000043591,108816.3744186046
ENSG00000044012,0
ENSG00000044090,9552015.850615593
ENSG00000044115,140067330.59439126
ENSG00000044446,488104.5112175103
ENSG00000044459,208996.07674418605
ENSG00000044524,16426134.21450068
ENSG00000044574,2773854493.0638847
ENSG00000046604,103381159.45827635
ENSG00000046647,394829.8233926127
ENSG00000046651,436573.0943912448
ENSG00000046653,246197.7329685362
ENSG00000046774,2719.99685362517
ENSG00000046889,2051556.6474692211
ENSG00000047056,1036466.5861833108
ENSG00000047188,1243447.3057455535
ENSG00000047230,523226.0422708619
ENSG00000047249,2882710.9752393984
ENSG00000047315,7246974.40984952
ENSG00000047346,1598334.5932968538
ENSG00000047365,6240577.749521205
ENSG00000047410,144843747.90861833
ENSG00000047457,594198.8103967167
ENSG00000047578,1768223.621477429
ENSG00000047579,330105.23898768815
ENSG00000047597,14668.834062927494
ENSG00000047617,15652.878932968535
ENSG00000047621,400498.48864569084
ENSG00000047634,373768.3437756499
ENSG00000047644,9974594.497948015
ENSG00000047648,271533.00752393994
ENSG00000047662,732.2638850889189
ENSG00000047849,269265873.02982223
ENSG00000047932,5402304.922024625
ENSG00000047936,2464851.954582764
ENSG00000048028,253399.1251709986
ENSG00000048052,143867.86826265388
ENSG00000048140,4640165.243775649
ENSG00000048162,1653676.5280437756
ENSG00000048342,182038.5982216142
ENSG00000048392,6561421.318741449
ENSG00000048405,513173.050752394
ENSG00000048462,34570.18221614232
ENSG00000048471,1505068.5712722298
ENSG00000048540,2180669.8917920645
ENSG00000048544,1080991.686046512
ENSG00000048545,1596.3359781121742
ENSG00000048649,6659305.053351572
ENSG00000048707,6653662.8099863175
ENSG00000048740,15905136.324623803
ENSG00000048828,47131692.47441859
ENSG00000048991,1143632.8335157316
ENSG00000049089,378584.0399452805
ENSG00000049130,2850533.96497948
ENSG00000049167,75025.39917920656
ENSG00000049192,1417267.839808481
ENSG00000049239,237039816.9127223
ENSG00000049245,26148531.347332414
ENSG00000049246,5866488.775923393
ENSG00000049247,1780.7545827633362
ENSG00000049249,641365.845280438
ENSG00000049283,101049.02763337892
ENSG00000049323,89699849.94965798
ENSG00000049449,103339745.16566351
ENSG00000049540,734221299.0927496
ENSG00000049541,975964.6128590973
ENSG00000049618,7306205.635567715
ENSG00000049656,654838414.5763338
ENSG00000049759,5478849.1300957585
ENSG00000049768,66144.81094391244
ENSG00000049769,252368.23474692198
ENSG00000049860,10020124.767715458
ENSG00000049883,537941.6251709986
ENSG00000050030,310271.35991792066
ENSG00000050130,2710172.3294117646
ENSG00000050165,61205956.66538989
ENSG00000050327,3044937.0441860473
ENSG00000050344,16825313.315595075
ENSG00000050393,485517.3500683995
ENSG00000050405,244887332.62339252
ENSG00000050426,2403874.414774281
ENSG00000050438,68294.65554035568
ENSG00000050555,1352409.60383037
ENSG00000050628,2406164.6179206567
ENSG00000050730,171375.04363885088
ENSG00000050748,5330843.240629276
ENSG00000050767,297913.98632010946
ENSG00000050820,28576119.303009585
ENSG00000051009,522289.7418604651
ENSG00000051108,57316075.455540374
ENSG00000051128,6604386.085909714
ENSG00000051180,171177.42722298225
ENSG00000051341,151097.3533515732
ENSG00000051382,1553231.2481532148
ENSG00000051523,32847013.25800274
ENSG00000051596,916412.6715458279
ENSG00000051620,2924592.7731874147
ENSG00000051825,446217.44363885093
ENSG00000052126,629970.1614227088
ENSG00000052344,6677527.873597816
ENSG00000052723,1438368.5045143638
ENSG00000052749,4297225.827086181
ENSG00000052795,2572603.2618331052
ENSG00000052802,11959668.997127231
ENSG00000052841,6208368.702735979
ENSG00000052850,192568.74363885086
ENSG00000053108,29752.2928864569
ENSG00000053254,15164473.65690834
ENSG00000053328,10436.589329685361
ENSG00000053371,2778577.599452804
ENSG00000053372,2339810.2861833097
ENSG00000053438,54325875.56716825
ENSG00000053501,559008.6217510263
ENSG00000053524,1035.3927496580025
ENSG00000053702,44166.5292749658
ENSG00000053747,106207077.45116277
ENSG00000053770,713855.5239398087
ENSG00000053900,301532.45704514364
ENSG00000053918,292724.67154582764
ENSG00000054116,2164270.542270862
ENSG00000054118,20758613.005335152
ENSG00000054148,26724342.986046493
ENSG00000054179,1653057.6756497954
ENSG00000054219,2752013.1398084816
ENSG00000054267,7014424.718057455
ENSG00000054277,2341526.5751026
ENSG00000054282,6465163.863201094
ENSG00000054356,2719202.0262653907
ENSG00000054392,338927.4303693572
ENSG00000054523,7999337.448016415
ENSG00000054598,9086556.564705882
ENSG00000054611,1937548.8848153215
ENSG00000054654,56653298.50300957
